pontosX;pontosY;pontosZ
0.106749;0.281593;2.01208
0.209291;0.401332;2.03692
0.250861;0.447045;2.03216
0.289523;0.484581;2.03439
0.321583;0.50645;2.01188
0.355221;0.524095;2.01524
0.390196;0.535861;2.02285
0.418195;0.536982;2.00833
0.442857;0.538275;2.0132
0.468412;0.544944;2.05831
0.480193;0.537876;2.0584
0.481145;0.52996;2.05163
0.475708;0.529068;2.06934
0.449227;0.517245;2.03885
0.419235;0.508755;2.02463
0.378738;0.499866;2.01232
0.327313;0.489496;1.9936
0.212784;0.476746;1.98651
0.022012;0.483543;1.96972
-0.0924135;0.49824;1.95565
-0.141169;0.508086;1.96395
-0.185115;0.510383;1.93654
-0.22568;0.515525;1.90793
-0.266784;0.524144;1.88635
-0.312185;0.530072;1.86213
-0.360466;0.53527;1.8458
-0.40902;0.536335;1.82787
-0.458506;0.538913;1.83138
-0.499482;0.535059;1.82166
-0.537439;0.537745;1.83343
-0.56596;0.532818;1.83502
-0.592108;0.519706;1.8489
-0.605788;0.488753;1.84176
-0.623924;0.460305;1.87268
-0.631611;0.422188;1.89691
-0.619592;0.369191;1.8827
-0.550024;0.168196;2.01797
-0.488313;0.0788834;2.03859
-0.459792;0.0529651;2.0315
-0.445266;0.0498612;2.04646
-0.434372;0.0557771;2.05132
-0.42742;0.0643846;2.05802
-0.42119;0.0697124;2.06307
-0.414581;0.0704485;2.06543
-0.405268;0.0679685;2.05913
-0.39681;0.0600138;2.05418
-0.387466;0.0473859;2.04787
-0.389294;0.0295171;2.09846
-0.371652;0.00753181;2.04937
-0.362337;-0.0147119;2.05041
-0.353562;-0.0364943;2.05086
-0.345858;-0.0584221;2.05444
-0.338944;-0.0797061;2.05764
-0.333919;-0.0983572;2.07204
-0.337447;-0.115603;2.14865
-0.33219;-0.125428;2.17213
-0.314812;-0.125483;2.10065
-0.31378;-0.12732;2.12233
-0.324842;-0.129714;2.19622
-0.314035;-0.12397;2.10401
-0.32872;-0.127105;2.17996
-0.321606;-0.121804;2.09484
-0.327869;-0.120843;2.08425
-0.333259;-0.116187;2.06556
-0.340165;-0.109391;2.0563
-0.347776;-0.100513;2.06502
-0.356971;-0.0905065;2.0818
-0.365951;-0.0804114;2.09512
-0.37207;-0.0708153;2.09102
-0.379939;-0.0627204;2.10362
-0.385129;-0.0549058;2.10138
-0.389991;-0.0468609;2.09982
-0.385967;-0.0388841;2.09673
-0.368969;-0.0318506;2.09907
-0.341652;-0.025984;2.12572
-0.299796;-0.0216978;2.12766
0.0342245;-0.0228973;2.07878
0.0721247;-0.0244837;2.05264
0.0898835;-0.0233135;2.04295
0.0932725;-0.0217703;2.06232
0.0897975;-0.019972;2.07751
0.0893084;-0.0199073;2.08016
0.100964;-0.0201893;2.10177
0.125658;-0.0222622;2.11667
0.159987;-0.0276115;2.14021
0.246211;-0.0415459;2.12945
0.496187;-0.0516919;2.0641
0.537965;-0.0492033;2.0708
0.563324;-0.0447452;2.0632
0.577957;-0.0424002;2.0755
0.590826;-0.0419956;2.10968
0.593439;-0.0372226;2.12014
0.594659;-0.0229469;2.14086
0.590086;-0.000497035;2.15752
0.566824;0.109727;2.18315
0.554459;0.156719;2.16404
0.539119;0.20071;2.13068
0.523324;0.235395;2.09264
0.509012;0.263651;2.06627
0.496983;0.292781;2.06573
0.47993;0.318274;2.04283
0.464169;0.342757;2.03079
0.45573;0.37143;2.05552
0.441841;0.39677;2.06751
0.431422;0.422654;2.09008
0.423821;0.441775;2.09712
0.418811;0.454466;2.09893
0.414168;0.456341;2.08448
0.402114;0.440971;2.06431
0.377053;0.409058;2.03329
0.346034;0.376115;2.0347
0.303762;0.336517;2.03469
0.253726;0.290436;2.01885
0.203709;0.241754;2.00912
0.157533;0.19539;2.07153
-0.00669821;0.00507476;1.8991
-0.0520541;-0.0535483;2.00671
-0.0826086;-0.096576;1.89139
-0.10908;-0.129494;1.9247
-0.129469;-0.148493;2.03742
-0.129288;-0.148916;2.1098
-0.114742;-0.141602;2.07788
-0.103921;-0.142961;2.10005
-0.0957878;-0.145183;2.08601
-0.0902891;-0.150004;2.0718
-0.089858;-0.157972;2.12161
-0.0875355;-0.156729;2.08507
-0.0848743;-0.151734;2.01769
-0.0864978;-0.152107;2.01118
-0.0899635;-0.151396;2.01255
-0.0944466;-0.150157;2.01267
-0.0975005;-0.146958;2.00061
-0.0983378;-0.143897;1.99162
-0.101608;-0.145482;2.03911
-0.0985642;-0.139424;1.96859
-0.096794;-0.135863;1.94869
-0.0944789;-0.134445;1.96125
-0.0908648;-0.127342;1.95954
-0.0843608;-0.117412;1.96185
-0.0782867;-0.10813;2.02551
-0.0657218;-0.0908511;1.98212
-0.0539139;-0.0755793;1.98051
-0.0437115;-0.0625958;1.97614
-0.0336688;-0.0495702;1.95188
-0.0239694;-0.0392573;1.95163
-0.0112172;-0.0279909;1.9467
0.0103299;-0.0072305;1.96358
0.0417345;0.0249582;1.98237
0.0836021;0.0706612;2.07428
0.125398;0.118571;2.01051
